 %[acid] (cm^-3)         [DMA] (ppt)               T (K)            CS (1/s)       J (cm^-3s^-1)
     3.16228E+07         1.00000E+06         1.80000E+02         1.00000E-04         5.54609E+03
     3.16228E+07         3.16228E+06         1.80000E+02         1.00000E-04         1.72123E+04
     3.16228E+07         1.00000E+07         1.80000E+02         1.00000E-04         4.78859E+04
     3.16228E+07         3.16228E+07         1.80000E+02         1.00000E-04         9.72629E+04
     3.16228E+07         1.00000E+08         1.80000E+02         1.00000E-04         1.29986E+05
     3.16228E+07         3.16228E+08         1.80000E+02         1.00000E-04         1.53485E+05
     3.16228E+07         1.00000E+09         1.80000E+02         1.00000E-04         1.68946E+05
     1.00000E+08         1.00000E+04         1.80000E+02         1.00000E-04         1.35767E+02
     1.00000E+08         3.16228E+04         1.80000E+02         1.00000E-04         4.95977E+02
     1.00000E+08         1.00000E+05         1.80000E+02         1.00000E-04         1.69806E+03
     1.00000E+08         3.16228E+05         1.80000E+02         1.00000E-04         5.61005E+03
     1.00000E+08         1.00000E+06         1.80000E+02         1.00000E-04         1.81395E+04
     1.00000E+08         3.16228E+06         1.80000E+02         1.00000E-04         5.75519E+04
     1.00000E+08         1.00000E+07         1.80000E+02         1.00000E-04         1.76550E+05
     1.00000E+08         3.16228E+07         1.80000E+02         1.00000E-04         4.92347E+05
     1.00000E+08         1.00000E+08         1.80000E+02         1.00000E-04         1.00899E+06
     1.00000E+08         3.16228E+08         1.80000E+02         1.00000E-04         1.36390E+06
     1.00000E+08         1.00000E+09         1.80000E+02         1.00000E-04         1.59563E+06
     3.16228E+08         1.00000E+04         1.80000E+02         1.00000E-04         4.94716E+02
     3.16228E+08         3.16228E+04         1.80000E+02         1.00000E-04         1.69377E+03
     3.16228E+08         1.00000E+05         1.80000E+02         1.00000E-04         5.59878E+03
     3.16228E+08         3.16228E+05         1.80000E+02         1.00000E-04         1.81525E+04
     3.16228E+08         1.00000E+06         1.80000E+02         1.00000E-04         5.82090E+04
     3.16228E+08         3.16228E+06         1.80000E+02         1.00000E-04         1.85224E+05
     3.16228E+08         1.00000E+07         1.80000E+02         1.00000E-04         5.83381E+05
     3.16228E+08         3.16228E+07         1.80000E+02         1.00000E-04         1.79041E+06
     3.16228E+08         1.00000E+08         1.80000E+02         1.00000E-04         5.04477E+06
     3.16228E+08         3.16228E+08         1.80000E+02         1.00000E-04         1.03902E+07
     3.16228E+08         1.00000E+09         1.80000E+02         1.00000E-04         1.39686E+07
